"Portions and Weights
2017-2018 Food and Nutrient Database for Dietary Studies - At A Glance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",,,,,,,,
Food code,Main food description,Subcode,Subcode description,WWEIA Category number,WWEIA Category description,Seq num,Portion description,Portion weight (g)
91705060,"Milk chocolate candy, with almonds",1000267,Hershey Kisses with Almonds,5702,Candy containing chocolate,3,1 cup,145
91705060,"Milk chocolate candy, with almonds",1000267,Hershey Kisses with Almonds,5702,Candy containing chocolate,4,Quantity not specified,21
91705060,"Milk chocolate candy, with almonds",1000267,Hershey Kisses with Almonds,5702,Candy containing chocolate,5,1 kiss,4.7
91705060,"Milk chocolate candy, with almonds",1000293,Hershey's Nuggets with Almonds,5702,Candy containing chocolate,1,1 piece,9.8
91705060,"Milk chocolate candy, with almonds",1000293,Hershey's Nuggets with Almonds,5702,Candy containing chocolate,2,Quantity not specified,21
91705060,"Milk chocolate candy, with almonds",1000311,Cadbury Roasted Almonds,5702,Candy containing chocolate,1,1 bar (5 oz),142
91705060,"Milk chocolate candy, with almonds",1000311,Cadbury Roasted Almonds,5702,Candy containing chocolate,2,1 piece,4.4
91705060,"Milk chocolate candy, with almonds",1000311,Cadbury Roasted Almonds,5702,Candy containing chocolate,3,Quantity not specified,21
91705060,"Milk chocolate candy, with almonds",1000317,Hershey Bites with Almonds,5702,Candy containing chocolate,1,1 piece,2.3
91705060,"Milk chocolate candy, with almonds",1000317,Hershey Bites with Almonds,5702,Candy containing chocolate,2,1 cup,158
91705060,"Milk chocolate candy, with almonds",1000317,Hershey Bites with Almonds,5702,Candy containing chocolate,3,Quantity not specified,21
91705070,"Chocolate, milk, with peanuts",,,5702,Candy containing chocolate,1,1 piece,11
91705070,"Chocolate, milk, with peanuts",,,5702,Candy containing chocolate,2,1 bar,43
91705070,"Chocolate, milk, with peanuts",,,5702,Candy containing chocolate,3,Quantity not specified,21
91705070,"Chocolate, milk, with peanuts",,,5702,Candy containing chocolate,4,1 miniature/bite size,10
91705070,"Chocolate, milk, with peanuts",1000048,Chunky with peanuts,5702,Candy containing chocolate,1,1 individually wrapped piece (1.15 oz),33
91705070,"Chocolate, milk, with peanuts",1000048,Chunky with peanuts,5702,Candy containing chocolate,2,Quantity not specified,21
91705070,"Chocolate, milk, with peanuts",1000049,Mr. Goodbar,5702,Candy containing chocolate,1,1 bar (1.5 oz),43
91705070,"Chocolate, milk, with peanuts",1000049,Mr. Goodbar,5702,Candy containing chocolate,2,1 bar (1.65 oz),47
91705070,"Chocolate, milk, with peanuts",1000049,Mr. Goodbar,5702,Candy containing chocolate,3,1 Big Block bar (2.2 oz),62
91705070,"Chocolate, milk, with peanuts",1000049,Mr. Goodbar,5702,Candy containing chocolate,4,"1 large bar (21 squares, 4 oz)",113
91705070,"Chocolate, milk, with peanuts",1000049,Mr. Goodbar,5702,Candy containing chocolate,6,"1 extra large bar (32 squares, 8 oz)",227
91705070,"Chocolate, milk, with peanuts",1000049,Mr. Goodbar,5702,Candy containing chocolate,7,Quantity not specified,21
91705070,"Chocolate, milk, with peanuts",1000049,Mr. Goodbar,5702,Candy containing chocolate,8,1 king size bar,74
91705070,"Chocolate, milk, with peanuts",1000049,Mr. Goodbar,5702,Candy containing chocolate,9,1 miniature/bite size,10
91705090,Chocolate candy with fondant and caramel,,,5702,Candy containing chocolate,1,1 bar (1.06 oz),30
91705090,Chocolate candy with fondant and caramel,,,5702,Candy containing chocolate,2,Quantity not specified,21
91705200,"Chocolate, semi-sweet morsel",,,5702,Candy containing chocolate,1,1 morsel,0.5
91705200,"Chocolate, semi-sweet morsel",,,5702,Candy containing chocolate,2,"1 cup, semi-sweet",168
91705200,"Chocolate, semi-sweet morsel",,,5702,Candy containing chocolate,3,1 cubic inch,22
91705200,"Chocolate, semi-sweet morsel",,,5702,Candy containing chocolate,4,Quantity not specified,21
91705200,"Chocolate, semi-sweet morsel",,,5702,Candy containing chocolate,5,"1 cup, large chips",182
91705200,"Chocolate, semi-sweet morsel",,,5702,Candy containing chocolate,6,"1 cup, mini chips",173
91705200,"Chocolate, semi-sweet morsel",,,5702,Candy containing chocolate,7,"1 cup, NFS",168
91705200,"Chocolate, semi-sweet morsel",,,5702,Candy containing chocolate,8,1 mini kiss,4
91705200,"Chocolate, semi-sweet morsel",1000051,Toll House morsels,5702,Candy containing chocolate,1,1 piece,0.5
91705200,"Chocolate, semi-sweet morsel",1000051,Toll House morsels,5702,Candy containing chocolate,2,"1 cup, Toll House",176
91705200,"Chocolate, semi-sweet morsel",1000051,Toll House morsels,5702,Candy containing chocolate,3,Quantity not specified,21
91705300,"Chocolate, sweet or dark",,,5702,Candy containing chocolate,1,1 miniature/bite size,8
91705300,"Chocolate, sweet or dark",,,5702,Candy containing chocolate,2,1 piece,7.6
91705300,"Chocolate, sweet or dark",,,5702,Candy containing chocolate,3,1 bar (1.45 oz),41
91705300,"Chocolate, sweet or dark",,,5702,Candy containing chocolate,4,Quantity not specified,21
91705300,"Chocolate, sweet or dark",,,5702,Candy containing chocolate,6,1 cubic inch,18
91705300,"Chocolate, sweet or dark",,,5702,Candy containing chocolate,7,1 king size bar,74
91705300,"Chocolate, sweet or dark",1000309,Special Dark,5702,Candy containing chocolate,1,1 miniature/bite size,8
91705300,"Chocolate, sweet or dark",1000309,Special Dark,5702,Candy containing chocolate,2,1 piece,7.6
91705300,"Chocolate, sweet or dark",1000309,Special Dark,5702,Candy containing chocolate,3,1 bar (1.45 oz),41
91705300,"Chocolate, sweet or dark",1000309,Special Dark,5702,Candy containing chocolate,4,1 bar (2.2 oz),62
91705300,"Chocolate, sweet or dark",1000309,Special Dark,5702,Candy containing chocolate,5,"1 large bar (21 squares, 4 oz)",113
91705300,"Chocolate, sweet or dark",1000309,Special Dark,5702,Candy containing chocolate,6,"1 extra large bar (32 squares, 8 oz)",227
91705300,"Chocolate, sweet or dark",1000309,Special Dark,5702,Candy containing chocolate,7,Quantity not specified,21
91705300,"Chocolate, sweet or dark",1000309,Special Dark,5702,Candy containing chocolate,9,1 king size bar,74
91705300,"Chocolate, sweet or dark",1000318,Dove Dark Chocolate bar,5702,Candy containing chocolate,1,"1 bar (5  squares, 1.3 oz)",37
91705300,"Chocolate, sweet or dark",1000318,Dove Dark Chocolate bar,5702,Candy containing chocolate,3,1 piece,8
91705300,"Chocolate, sweet or dark",1000318,Dove Dark Chocolate bar,5702,Candy containing chocolate,7,Quantity not specified,21
91705300,"Chocolate, sweet or dark",1000327,Hershey's Special Dark Kisses,5702,Candy containing chocolate,2,"1 bag (37 pieces, 6 oz)",170
91705300,"Chocolate, sweet or dark",1000327,Hershey's Special Dark Kisses,5702,Candy containing chocolate,3,1 cup,158
91705300,"Chocolate, sweet or dark",1000327,Hershey's Special Dark Kisses,5702,Candy containing chocolate,4,Quantity not specified,21
91705300,"Chocolate, sweet or dark",1000327,Hershey's Special Dark Kisses,5702,Candy containing chocolate,5,1 kiss,5
91705310,"Chocolate, sweet or dark, with almonds",,,5702,Candy containing chocolate,1,1 bar,41
91705310,"Chocolate, sweet or dark, with almonds",,,5702,Candy containing chocolate,2,1 nugget,9.5
91705310,"Chocolate, sweet or dark, with almonds",,,5702,Candy containing chocolate,3,1 piece,4.7
91705310,"Chocolate, sweet or dark, with almonds",,,5702,Candy containing chocolate,4,1 miniature/bite size,14
91705310,"Chocolate, sweet or dark, with almonds",,,5702,Candy containing chocolate,5,"1 large bar (21 squares, 4 oz)",113
91705310,"Chocolate, sweet or dark, with almonds",,,5702,Candy containing chocolate,6,"1 extra large bar (32 squares, 8 oz)",227
91705310,"Chocolate, sweet or dark, with almonds",,,5702,Candy containing chocolate,7,Quantity not specified,21
91705400,"Chocolate, white",,,5704,Candy not containing chocolate,1,1 piece,5
91705400,"Chocolate, white",,,5704,Candy not containing chocolate,2,Quantity not specified,14
91705400,"Chocolate, white",1000053,Andes Mint Wafers,5704,Candy not containing chocolate,1,1 piece,5
91705400,"Chocolate, white",1000053,Andes Mint Wafers,5704,Candy not containing chocolate,2,Quantity not specified,14
91705410,"Chocolate, white, with almonds",,,5704,Candy not containing chocolate,1,1 bar (1.313 oz),37
91705410,"Chocolate, white, with almonds",,,5704,Candy not containing chocolate,2,Quantity not specified,14
91705410,"Chocolate, white, with almonds",1000055,Nestle Alpine White with Almonds,5704,Candy not containing chocolate,1,1 bar (1.313 oz),37
91705410,"Chocolate, white, with almonds",1000055,Nestle Alpine White with Almonds,5704,Candy not containing chocolate,2,Quantity not specified,14
91705420,"Chocolate, white, with cereal",,,5704,Candy not containing chocolate,1,1 bar,43
91705420,"Chocolate, white, with cereal",,,5704,Candy not containing chocolate,2,Quantity not specified,14
91705420,"Chocolate, white, with cereal",,,5704,Candy not containing chocolate,3,1 large bar,196
91705420,"Chocolate, white, with cereal",,,5704,Candy not containing chocolate,4,1 snack size bar,17
91705420,"Chocolate, white, with cereal",1000298,Hershey's Cookies 'n' Creme,5704,Candy not containing chocolate,1,1 bar,43
91705420,"Chocolate, white, with cereal",1000298,Hershey's Cookies 'n' Creme,5704,Candy not containing chocolate,2,Quantity not specified,14
91705420,"Chocolate, white, with cereal",1000298,Hershey's Cookies 'n' Creme,5704,Candy not containing chocolate,3,1 snack size bar,17
91705420,"Chocolate, white, with cereal",1000298,Hershey's Cookies 'n' Creme,5704,Candy not containing chocolate,4,1 nugget,9
91705420,"Chocolate, white, with cereal",1000298,Hershey's Cookies 'n' Creme,5704,Candy not containing chocolate,5,1 large bar,196
91705430,Kit Kat White,,,5704,Candy not containing chocolate,1,1 bar,42
91705430,Kit Kat White,,,5704,Candy not containing chocolate,2,1 miniature/bite size,8.6
91705430,Kit Kat White,,,5704,Candy not containing chocolate,3,Quantity not specified,14
91705500,"Mexican chocolate, tablet",,,5702,Candy containing chocolate,1,"1 cup, crushed",180
91705500,"Mexican chocolate, tablet",,,5702,Candy containing chocolate,2,1 tablet (3 oz),85
91705500,"Mexican chocolate, tablet",,,5702,Candy containing chocolate,3,Quantity not specified,21
91706000,"Coconut candy, chocolate covered",,,5702,Candy containing chocolate,1,1 piece (.5 oz),14
91706000,"Coconut candy, chocolate covered",,,5702,Candy containing chocolate,2,Quantity not specified,21
91706000,"Coconut candy, chocolate covered",,,5702,Candy containing chocolate,3,1 fun/snack size,17
91706000,"Coconut candy, chocolate covered",1000056,Almond Joy,5702,Candy containing chocolate,1,1 miniature/bite size,14
91706000,"Coconut candy, chocolate covered",1000056,Almond Joy,5702,Candy containing chocolate,2,1 fun/snack size,17
91706000,"Coconut candy, chocolate covered",1000056,Almond Joy,5702,Candy containing chocolate,3,1 bar (1.6 oz),45
91706000,"Coconut candy, chocolate covered",1000056,Almond Joy,5702,Candy containing chocolate,4,Quantity not specified,21
91706000,"Coconut candy, chocolate covered",1000057,Bounty,5702,Candy containing chocolate,1,1 bar (1.75 oz),50
91706000,"Coconut candy, chocolate covered",1000057,Bounty,5702,Candy containing chocolate,2,Quantity not specified,21
91706000,"Coconut candy, chocolate covered",1000059,"Easter egg, chocolate covered coconut",5702,Candy containing chocolate,1,1 small egg (1 oz),28
91706000,"Coconut candy, chocolate covered",1000059,"Easter egg, chocolate covered coconut",5702,Candy containing chocolate,2,1 medium egg (4 oz),113
91706000,"Coconut candy, chocolate covered",1000059,"Easter egg, chocolate covered coconut",5702,Candy containing chocolate,3,1 large egg (5 oz),142
91706000,"Coconut candy, chocolate covered",1000059,"Easter egg, chocolate covered coconut",5702,Candy containing chocolate,4,Quantity not specified,21
91706000,"Coconut candy, chocolate covered",1000060,Mounds,5702,Candy containing chocolate,1,1 miniature/bite size,11
91706000,"Coconut candy, chocolate covered",1000060,Mounds,5702,Candy containing chocolate,2,1 fun/snack size,17
91706000,"Coconut candy, chocolate covered",1000060,Mounds,5702,Candy containing chocolate,3,1 bar (1.65 oz),47
91706000,"Coconut candy, chocolate covered",1000060,Mounds,5702,Candy containing chocolate,4,Quantity not specified,21
91706100,"Coconut candy, no chocolate covering",,,5704,Candy not containing chocolate,1,1 oz,28.35
91706100,"Coconut candy, no chocolate covering",,,5704,Candy not containing chocolate,2,Quantity not specified,14
91706100,"Coconut candy, no chocolate covering",1000061,Bon-bon,5704,Candy not containing chocolate,1,1 bon-bon,14
91706100,"Coconut candy, no chocolate covering",1000061,Bon-bon,5704,Candy not containing chocolate,2,Quantity not specified,14
91706100,"Coconut candy, no chocolate covering",1000063,Rainbow coconut,5704,Candy not containing chocolate,1,1 bar (1.4 oz),40
91706100,"Coconut candy, no chocolate covering",1000063,Rainbow coconut,5704,Candy not containing chocolate,2,Quantity not specified,14
91706400,"Coconut candy, Puerto Rican style",,,5704,Candy not containing chocolate,1,1 cubic inch,17
91706400,"Coconut candy, Puerto Rican style",,,5704,Candy not containing chocolate,2,1 cup,240
91706400,"Coconut candy, Puerto Rican style",,,5704,Candy not containing chocolate,3,Quantity not specified,14
91707000,Fondant,,,5704,Candy not containing chocolate,1,1 piece,11
91707000,Fondant,,,5704,Candy not containing chocolate,2,Quantity not specified,14
91707000,Fondant,1000064,"Mints, NFS",5704,Candy not containing chocolate,1,1 piece,2
91707000,Fondant,1000064,"Mints, NFS",5704,Candy not containing chocolate,2,1 cup,110
91707000,Fondant,1000064,"Mints, NFS",5704,Candy not containing chocolate,3,Quantity not specified,14
91707000,Fondant,1000065,Candy corn,5704,Candy not containing chocolate,1,1 piece,1
91707000,Fondant,1000065,Candy corn,5704,Candy not containing chocolate,2,1 box (.5 oz),14
91707000,Fondant,1000065,Candy corn,5704,Candy not containing chocolate,3,1 cup,200
91707000,Fondant,1000065,Candy corn,5704,Candy not containing chocolate,4,Quantity not specified,14
91707000,Fondant,1000067,Mentos,5704,Candy not containing chocolate,1,1 piece,2.9
91707000,Fondant,1000067,Mentos,5704,Candy not containing chocolate,2,1 cup,217
91707000,Fondant,1000067,Mentos,5704,Candy not containing chocolate,3,Quantity not specified,14
91707000,Fondant,1000068,Merri-Mints (Delson),5704,Candy not containing chocolate,1,1 mint,9
91707000,Fondant,1000068,Merri-Mints (Delson),5704,Candy not containing chocolate,2,1 cup,131
91707000,Fondant,1000068,Merri-Mints (Delson),5704,Candy not containing chocolate,3,Quantity not specified,14
91707010,"Fondant, chocolate covered",,,5702,Candy containing chocolate,1,1 piece,43
91707010,"Fondant, chocolate covered",,,5702,Candy containing chocolate,2,Quantity not specified,21
91707010,"Fondant, chocolate covered",,,5702,Candy containing chocolate,3,1 large patty,43
91707010,"Fondant, chocolate covered",,,5702,Candy containing chocolate,4,1 small patty,11
91707010,"Fondant, chocolate covered",1000070,Butter creams,5702,Candy containing chocolate,1,1 butter cream,20
91707010,"Fondant, chocolate covered",1000070,Butter creams,5702,Candy containing chocolate,2,Quantity not specified,21
91707010,"Fondant, chocolate covered",1000071,"Cherries, chocolate covered",5702,Candy containing chocolate,1,1 cherry,14
91707010,"Fondant, chocolate covered",1000071,"Cherries, chocolate covered",5702,Candy containing chocolate,2,Quantity not specified,21
91707010,"Fondant, chocolate covered",1000072,Chocolate Jots,5702,Candy containing chocolate,1,1/4 cup,50
91707010,"Fondant, chocolate covered",1000072,Chocolate Jots,5702,Candy containing chocolate,2,1 piece,1
91707010,"Fondant, chocolate covered",1000072,Chocolate Jots,5702,Candy containing chocolate,3,1 package (2.25 oz),64
91707010,"Fondant, chocolate covered",1000072,Chocolate Jots,5702,Candy containing chocolate,4,Quantity not specified,21
91707010,"Fondant, chocolate covered",1000073,"Easter egg, chocolate covered creme",5702,Candy containing chocolate,1,"1 egg, NS as to size",28
91707010,"Fondant, chocolate covered",1000073,"Easter egg, chocolate covered creme",5702,Candy containing chocolate,2,1 egg (1.02 oz) (Cadbury),29
91707010,"Fondant, chocolate covered",1000073,"Easter egg, chocolate covered creme",5702,Candy containing chocolate,3,1 egg (5 oz),142
91707010,"Fondant, chocolate covered",1000073,"Easter egg, chocolate covered creme",5702,Candy containing chocolate,4,1 egg (8 oz),227
91707010,"Fondant, chocolate covered",1000073,"Easter egg, chocolate covered creme",5702,Candy containing chocolate,5,Quantity not specified,21
